Code,Solvent,SMILES,InChIKey,Type,dD,dP,dH,dT,d.Unit,Protic,Priority,LabId,InStock,IncompatibleWith
S1,Methyl Ethyl Ketone,CCC(=O)C,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,Solvent,16.0,9.0,5.1,19.0,MPa^0.5,N,0,,Y,"S23,S24,S25"
S2,Hexane,CCCCCC,VLKZOEOYAKHREP-UHFFFAOYSA-N,Solvent,14.9,0.0,0.0,14.9,MPa^0.5,N,0,,Y,"S4,S5,S6,S8,S9,S11,S12,S17,S18,S23,S24,S25"
S3,Toluene,CC1=CC=CC=C1,YXFVVABEGXRONW-UHFFFAOYSA-N,Solvent,18.0,1.4,2.0,18.2,MPa^0.5,N,0,,Y,"S6,S11,S23,S24,S25"
S4,Propylene Carbonate,CC1COC(=O)O1,RUOJZAUFBMNUDX-UHFFFAOYSA-N,Solvent,20.0,18.0,4.1,27.2,MPa^0.5,N,0,,Y,S25
S5,Acetonitrile,CC#N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,Solvent,15.3,18.0,6.1,24.6,MPa^0.5,N,0,,Y,S25
S6,Methanol,CO,OKKJLVBELUTLKV-UHFFFAOYSA-N,Solvent,14.7,12.3,22.3,29.7,MPa^0.5,Y,0,,Y,
S7,Diacetone alcohol,CC(=O)CC(C)(C)O,SWXVUIWOUIDPGS-UHFFFAOYSA-N,Solvent,15.8,8.2,10.8,20.9,MPa^0.5,Y,0,,Y,S25
S8,Cyclohexanol,C1CCC(CC1)O,HPXRVTGHNJAIIH-UHFFFAOYSA-N,Solvent,17.4,4.1,13.5,22.5,MPa^0.5,N,0,,Y,"S24,S25"
S9,Dimethylformamide,CN(C)C=O,ZMXDDKWLCZADIW-UHFFFAOYSA-N,Solvent,17.4,13.7,11.3,24.8,MPa^0.5,N,0,,Y,S25
S10,n-butyl acetate,CCCCOC(=O)C,DKPFZGUDAPQIHT-UHFFFAOYSA-N,Solvent,15.8,3.7,6.3,17.4,MPa^0.5,N,0,,Y,"S6,S23,S24,S25"
S11,Ethanol,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Solvent,15.8,8.8,19.4,26.5,MPa^0.5,Y,0,,Y,
S12,Propanol,CCCO,BDERNNFJNOPAEC-UHFFFAOYSA-N,Solvent,16.0,6.8,17.4,24.6,MPa^0.5,Y,0,,Y,S25
S13,Cyclohexane,C1CCCCC1,XDTMQSROBMDMFD-UHFFFAOYSA-N,Solvent,16.8,0.0,0.2,16.8,MPa^0.5,N,0,,Y,"S4,S5,S6,S9,S11,S12,S18,S23,S24,S25"
S14,Propylene Glycol Monomethyl Ether Acetate,CC(COC)OC(=O)C,LLHKCFNBLRBOGN-UHFFFAOYSA-N,Solvent,15.6,5.6,9.8,19.3,MPa^0.5,N,0,,Y,"S24,S25"
S15,Tetrahydrofuran,C1CCOC1,WYURNTSHIVDZCO-UHFFFAOYSA-N,Solvent,16.8,5.7,8.0,19.4,MPa^0.5,N,0,,Y,"S23,S24,S25"
S16,Methylene Dichloride,C(Cl)Cl,YMWUJEATGCHHMB-UHFFFAOYSA-N,Solvent,17.0,7.3,7.1,20.3,MPa^0.5,N,0,,Y,"S23,S24,S25"
S17,N-Methyl-2-pyrrolidone,CN1CCCC1=O,SECXISVLQFMRJM-UHFFFAOYSA-N,Solvent,18.0,12.3,7.2,23.0,MPa^0.5,N,0,,Y,S25
S18,Gamma-Butyrolactone,C1CC(=O)OC1,YEJRWHAVMIAJKC-UHFFFAOYSA-N,Solvent,18.0,16.6,7.4,25.6,MPa^0.5,N,0,,Y,S25
S19,"1,4-Dioxane",C1COCCO1,RYHBNJHYFVUHQT-UHFFFAOYSA-N,Solvent,17.5,1.8,9.0,20.5,MPa^0.5,N,0,,Y,"S23,S24,S25"
S20,Ethylene Glycol Monomethyl Ether Acetate,CC(=O)OCCOC,XLLIQLLCWZCATF-UHFFFAOYSA-N,Solvent,15.9,5.5,11.6,15.0,MPa^0.5,N,0,,N,"S4,S23,S24,S25"
S21,Diethylene Glycol Monoethyl Ether Acetate,CCOCCOCCOC(=O)C,FPZWZCWUIYYYBU-UHFFFAOYSA-N,Solvent,16.2,5.1,9.2,15.0,MPa^0.5,N,0,,Y,"S4,S6,S23,S24,S25"
S22,Diethyl Ether,CCOCC,RTZKZFJDLAIYFH-UHFFFAOYSA-N,Solvent,14.5,2.9,4.6,15.8,MPa^0.5,N,0,,Y,"S4,S6,S11,S23,S24,S25"
S23,Glycerol,C(C(CO)O)O,PEDCQBHIVMGVHV-UHFFFAOYSA-N,Solvent,17.4,11.3,27.2,22.7,MPa^0.5,Y,0,,Y,"S2,S3,S4,S13,S22"
S24,Formamide,C(=O)N,ZHNUHDYFZUAESO-UHFFFAOYSA-N,Solvent,17.2,26.2,19.0,26.6,MPa^0.5,Y,0,,N,"S2,S3,S13,S22"
S25,Water,O,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Solvent,15.5,16.0,42.3,38.7,MPa^0.5,Y,0,,Y,"S2,S3,S4,S13,S22"
